time,3074（YDC-1000型kN）力值曲线,3074（YDC-1000型kN）位移曲线
2024-08-30 09:25:13,244.65,1.60
2024-08-30 09:25:14,271.79,3.32
2024-08-30 09:25:15,304.53,5.02
2024-08-30 09:25:16,340.92,6.65
2024-08-30 09:25:17,375.79,8.31
2024-08-30 09:25:18,407.44,9.90
2024-08-30 09:25:19,445.18,11.47
2024-08-30 09:25:20,477.20,13.03
2024-08-30 09:25:21,513.84,14.51
2024-08-30 09:25:22,545.28,15.98
2024-08-30 09:25:23,580.58,17.43
2024-08-30 09:25:24,613.01,18.87
2024-08-30 09:25:25,619.89,19.70
2024-08-30 09:25:26,618.17,19.70
2024-08-30 09:25:27,615.59,19.70
2024-08-30 09:25:28,615.59,19.70
2024-08-30 09:25:29,609.57,19.70
2024-08-30 09:25:30,612.15,19.70
2024-08-30 09:25:31,612.15,19.70
2024-08-30 09:25:32,607.86,19.70
2024-08-30 09:25:33,610.43,19.70
2024-08-30 09:25:34,606.14,19.70
2024-08-30 09:25:35,607.86,19.70
2024-08-30 09:25:36,608.71,19.70
2024-08-30 09:25:37,607.86,19.70
2024-08-30 09:25:38,607.00,19.70
2024-08-30 09:25:39,607.86,19.70
2024-08-30 09:25:40,604.43,19.70
2024-08-30 09:25:41,602.72,19.70
2024-08-30 09:25:42,606.14,19.70
2024-08-30 09:25:43,606.14,19.70
2024-08-30 09:25:44,604.43,19.70
2024-08-30 09:25:45,601.01,19.70
2024-08-30 09:25:46,603.57,19.70
2024-08-30 09:25:47,601.01,19.70
2024-08-30 09:25:48,601.86,19.70
2024-08-30 09:25:49,603.57,19.70
2024-08-30 09:25:50,602.72,19.70
2024-08-30 09:25:51,603.57,19.70
2024-08-30 09:25:52,601.86,19.70
2024-08-30 09:25:53,601.01,19.70
2024-08-30 09:25:54,601.01,19.70
2024-08-30 09:25:55,601.01,19.70
2024-08-30 09:25:56,596.74,19.70
2024-08-30 09:25:57,601.01,19.70
2024-08-30 09:25:58,601.01,19.70
2024-08-30 09:25:59,601.01,19.70
2024-08-30 09:26:00,598.44,19.70
2024-08-30 09:26:01,596.74,19.70
2024-08-30 09:26:02,601.01,19.70
2024-08-30 09:26:03,599.30,19.70
2024-08-30 09:26:04,597.59,19.70
2024-08-30 09:26:05,597.59,19.70
2024-08-30 09:26:06,596.74,19.70
2024-08-30 09:26:07,599.30,19.70
2024-08-30 09:26:08,598.44,19.70
2024-08-30 09:26:09,599.30,19.70
2024-08-30 09:26:10,599.30,19.70
2024-08-30 09:26:11,599.30,19.70
2024-08-30 09:26:12,595.88,19.70
2024-08-30 09:26:13,596.74,19.70
2024-08-30 09:26:14,595.03,19.70
2024-08-30 09:26:15,598.44,19.70
2024-08-30 09:26:16,598.44,19.70
2024-08-30 09:26:17,593.33,19.70
2024-08-30 09:26:18,595.88,19.70
2024-08-30 09:26:19,592.47,19.70
2024-08-30 09:26:20,597.59,19.70
2024-08-30 09:26:21,596.74,19.70
2024-08-30 09:26:22,592.47,19.70
2024-08-30 09:26:23,590.77,19.70
2024-08-30 09:26:24,594.18,19.70
2024-08-30 09:26:25,595.03,19.70
2024-08-30 09:26:26,531.99,18.87
2024-08-30 09:26:27,490.15,17.58
2024-08-30 09:26:28,434.89,16.08
2024-08-30 09:26:29,362.82,14.26
2024-08-30 09:26:30,244.65,12.05
2024-08-30 09:26:31,112.70,9.69
2024-08-30 09:26:32,24.32,7.46
2024-08-30 09:26:33,21.92,7.46
2024-08-30 09:26:34,18.93,7.46
2024-08-30 09:26:35,16.55,7.46
2024-08-30 09:26:36,15.36,7.46
2024-08-30 09:26:37,12.98,7.46
2024-08-30 09:26:38,12.39,7.46
2024-08-30 09:26:39,11.80,7.46
2024-08-30 09:26:40,11.20,7.46
2024-08-30 09:26:41,10.61,7.46
