time,3073（YDC1200-200型kN）力值曲线,3073（YDC1200-200型kN）位移曲线
2024-08-29 21:19:32,261.75,0.99
2024-08-29 21:19:33,296.99,2.05
2024-08-29 21:19:34,321.89,3.16
2024-08-29 21:19:35,335.23,4.15
2024-08-29 21:19:36,336.72,5.19
2024-08-29 21:19:37,366.75,6.16
2024-08-29 21:19:38,403.48,7.19
2024-08-29 21:19:39,420.56,8.15
2024-08-29 21:19:40,419.78,9.06
2024-08-29 21:19:41,446.47,10.01
2024-08-29 21:19:42,484.78,10.95
2024-08-29 21:19:43,502.59,11.84
2024-08-29 21:19:44,500.15,12.72
2024-08-29 21:19:45,531.24,13.54
2024-08-29 21:19:46,568.66,14.41
2024-08-29 21:19:47,579.60,15.22
2024-08-29 21:19:48,583.81,16.03
2024-08-29 21:19:49,627.31,16.89
2024-08-29 21:19:50,613.57,17.28
2024-08-29 21:19:51,627.31,17.63
2024-08-29 21:19:52,619.57,17.63
2024-08-29 21:19:53,622.15,17.63
2024-08-29 21:19:54,614.43,17.63
2024-08-29 21:19:55,617.86,17.63
2024-08-29 21:19:56,617.86,17.63
2024-08-29 21:19:57,617.86,17.63
2024-08-29 21:19:58,617.00,17.63
2024-08-29 21:19:59,613.57,17.63
2024-08-29 21:20:00,614.43,17.63
2024-08-29 21:20:01,614.43,17.63
2024-08-29 21:20:02,611.01,17.63
2024-08-29 21:20:03,611.86,17.63
2024-08-29 21:20:04,611.01,17.63
2024-08-29 21:20:05,609.30,17.63
2024-08-29 21:20:06,611.01,17.63
2024-08-29 21:20:07,607.59,17.63
2024-08-29 21:20:08,611.01,17.63
2024-08-29 21:20:09,610.15,17.63
2024-08-29 21:20:10,610.15,17.63
2024-08-29 21:20:11,609.30,17.63
2024-08-29 21:20:12,605.03,17.63
2024-08-29 21:20:13,607.59,17.63
2024-08-29 21:20:14,607.59,17.63
2024-08-29 21:20:15,605.88,17.63
2024-08-29 21:20:16,607.59,17.63
2024-08-29 21:20:17,607.59,17.63
2024-08-29 21:20:18,607.59,17.63
2024-08-29 21:20:19,606.74,17.63
2024-08-29 21:20:20,602.47,17.63
2024-08-29 21:20:21,601.62,17.63
2024-08-29 21:20:22,605.03,17.63
2024-08-29 21:20:23,605.03,17.63
2024-08-29 21:20:24,605.03,17.63
2024-08-29 21:20:25,601.62,17.63
2024-08-29 21:20:26,605.03,17.63
2024-08-29 21:20:27,604.18,17.63
2024-08-29 21:20:28,602.47,17.63
2024-08-29 21:20:29,604.18,17.63
2024-08-29 21:20:30,602.47,17.63
2024-08-29 21:20:31,604.18,17.63
2024-08-29 21:20:32,600.77,17.63
2024-08-29 21:20:33,604.18,17.63
2024-08-29 21:20:34,602.47,17.63
2024-08-29 21:20:35,549.46,17.04
2024-08-29 21:20:36,208.62,10.64
2024-08-29 21:20:37,24.76,5.24
2024-08-29 21:20:38,22.98,5.24
2024-08-29 21:20:39,23.58,5.24
2024-08-29 21:20:40,24.76,5.24
2024-08-29 21:20:41,22.98,5.24
2024-08-29 21:20:42,24.76,5.24
2024-08-29 21:20:43,22.39,5.24
2024-08-29 21:20:44,24.76,5.24
2024-08-29 21:20:45,22.98,5.24
2024-08-29 21:20:46,24.17,5.24
