time,3073（YDC1200-200型kN）力值曲线,3073（YDC1200-200型kN）位移曲线
2024-08-30 03:48:35,251.11,0.37
2024-08-30 03:48:36,263.17,0.88
2024-08-30 03:48:37,283.23,1.38
2024-08-30 03:48:38,297.71,1.83
2024-08-30 03:48:39,296.26,2.27
2024-08-30 03:48:40,296.26,2.77
2024-08-30 03:48:41,300.63,3.21
2024-08-30 03:48:42,314.53,3.65
2024-08-30 03:48:43,335.97,4.15
2024-08-30 03:48:44,343.43,4.59
2024-08-30 03:48:45,341.94,5.02
2024-08-30 03:48:46,342.68,5.46
2024-08-30 03:48:47,355.43,5.84
2024-08-30 03:48:48,372.82,6.27
2024-08-30 03:48:49,382.73,6.70
2024-08-30 03:48:50,382.73,7.08
2024-08-30 03:48:51,385.02,7.46
2024-08-30 03:48:52,394.99,7.88
2024-08-30 03:48:53,413.55,8.26
2024-08-30 03:48:54,427.59,8.68
2024-08-30 03:48:55,424.46,9.06
2024-08-30 03:48:56,425.24,9.43
2024-08-30 03:48:57,434.65,9.80
2024-08-30 03:48:58,455.98,10.22
2024-08-30 03:48:59,467.93,10.59
2024-08-30 03:49:00,463.14,10.95
2024-08-30 03:49:01,464.73,11.32
2024-08-30 03:49:02,477.54,11.68
2024-08-30 03:49:03,496.91,12.05
2024-08-30 03:49:04,505.85,12.41
2024-08-30 03:49:05,500.15,12.72
2024-08-30 03:49:06,503.40,13.08
2024-08-30 03:49:07,519.74,13.44
2024-08-30 03:49:08,538.68,13.75
2024-08-30 03:49:09,537.85,14.11
2024-08-30 03:49:10,537.85,14.41
2024-08-30 03:49:11,541.99,14.77
2024-08-30 03:49:12,561.13,15.12
2024-08-30 03:49:13,577.91,15.43
2024-08-30 03:49:14,572.02,15.73
2024-08-30 03:49:15,571.18,16.08
2024-08-30 03:49:16,580.44,16.38
2024-08-30 03:49:17,595.67,16.69
2024-08-30 03:49:18,611.01,17.04
2024-08-30 03:49:19,602.47,17.33
2024-08-30 03:49:20,607.59,17.63
2024-08-30 03:49:21,617.86,17.93
2024-08-30 03:49:22,617.00,18.03
2024-08-30 03:49:23,611.01,18.03
2024-08-30 03:49:24,614.43,18.03
2024-08-30 03:49:25,614.43,18.03
2024-08-30 03:49:26,607.59,18.03
2024-08-30 03:49:27,611.01,18.03
2024-08-30 03:49:28,611.01,18.03
2024-08-30 03:49:29,611.01,18.03
2024-08-30 03:49:30,611.01,18.03
2024-08-30 03:49:31,609.30,18.03
2024-08-30 03:49:32,609.30,18.03
2024-08-30 03:49:33,607.59,18.03
2024-08-30 03:49:34,608.44,18.03
2024-08-30 03:49:35,607.59,18.03
2024-08-30 03:49:36,609.30,18.03
2024-08-30 03:49:37,606.74,18.03
2024-08-30 03:49:38,607.59,18.03
2024-08-30 03:49:39,606.74,18.03
2024-08-30 03:49:40,606.74,18.03
2024-08-30 03:49:41,607.59,18.03
2024-08-30 03:49:42,605.88,18.03
2024-08-30 03:49:43,606.74,18.03
2024-08-30 03:49:44,605.03,18.03
2024-08-30 03:49:45,602.47,18.03
2024-08-30 03:49:46,605.03,18.03
2024-08-30 03:49:47,605.03,18.03
2024-08-30 03:49:48,604.18,18.03
2024-08-30 03:49:49,605.03,18.03
2024-08-30 03:49:50,602.47,18.03
