time,force_left,force_right,force_left_filt,force_right_filt,force_avg,force_diff,dis_left,dis_right,total_delta_dis,dis_diff,force_rate,force_acc,stiffness_ratio,force_std_5s
2025-11-08 18:06:54,326.72,357.36,326.72,357.36,342.04,30.639999999999986,0.18,0.37,0.55,0.19,0.0,0.0,621.889778382221,0.0
2025-11-08 18:06:55,373.5,355.74,338.415,356.955,347.685,18.539999999999964,0.49,0.37,0.86,0.12,5.644999999999982,5.644999999999982,404.2844136227749,0.0
2025-11-08 18:06:56,391.27,354.13,351.62875,356.24875,353.93875,4.619999999999948,0.75,0.37,1.12,0.38,6.253750000000025,0.6087500000000432,316.01645891387597,0.0
2025-11-08 18:06:57,381.57,355.74,359.1140625,356.1215625,357.6178125,2.992500000000007,0.98,0.37,1.35,0.61,3.6790624999999864,-2.5746875000000387,264.90188710971324,0.0
2025-11-08 18:06:58,328.33,355.74,351.41804687499996,356.026171875,353.72210937499995,4.60812500000003,1.26,0.37,1.63,0.89,-3.895703125000068,-7.574765625000055,217.0072959311068,6.146389094431496
2025-11-08 18:06:59,328.33,354.13,345.6460351562499,355.55212890625,350.59908203124996,9.906093750000082,1.54,0.37,1.9100000000000001,1.17,-3.123027343749982,0.7726757812500864,183.559632707653,3.752578534254365
2025-11-08 18:07:00,338.0,420.39,343.7345263671874,371.7615966796875,357.74806152343746,28.027070312500086,1.87,0.49,2.3600000000000003,1.3800000000000001,7.148979492187493,10.272006835937475,151.5880974302288,3.0064282277616243
2025-11-08 18:07:01,341.23,375.11,343.1083947753906,372.59869750976566,357.8535461425781,29.490302734375064,2.18,0.54,2.72,1.6400000000000001,0.1054846191406682,-7.043494873046825,131.5637553598613,3.250294294155581
2025-11-08 18:07:02,333.17,434.96,340.623796081543,388.1890231323242,364.4064096069336,47.56522705078123,2.18,0.65,2.83,1.5300000000000002,6.552863464355482,6.447378845214814,128.76547026200117,5.190601263797748
2025-11-08 18:07:03,328.33,451.17,337.55034706115725,403.9342673492432,370.74230720520023,66.38392028808596,2.18,1.57,3.75,0.6100000000000001,6.335897598266627,-0.21696586608885582,98.8645888908297,7.624060267483555
2025-11-08 18:07:04,328.33,462.52,335.2452602958679,418.5807005119324,376.9129804039002,83.33544021606446,2.18,2.46,4.640000000000001,0.2799999999999998,6.170673198699944,-0.16522439956668222,81.23122826997238,8.32900533561043
2025-11-08 18:07:05,323.5,465.76,332.30894522190096,430.3755253839493,381.34223530292513,98.06658016204835,2.18,3.35,5.53,1.17,4.429254899024954,-1.74141829967499,68.95880042389234,9.427287043438954
2025-11-08 18:07:06,328.33,475.5,331.3142089164257,441.656644037962,386.48542647719387,110.34243512153631,2.18,4.24,6.42,2.06,5.143191174268736,0.7139362752437819,60.20021281572914,8.67999716443963
2025-11-08 18:07:07,326.72,488.49,330.16565668731926,453.3649830284715,391.7653198578954,123.19932634115224,2.18,5.13,7.3100000000000005,2.9499999999999997,5.279893380701537,0.13670220643280118,53.59305968055208,8.17025379061093
2025-11-08 18:07:08,328.33,494.99,329.70674251548945,463.77123727135364,396.73898989342155,134.0644947558642,2.18,6.02,8.2,3.8399999999999994,4.9736700355261405,-0.30622334517539684,48.38279774519803,7.920909202236923
2025-11-08 18:07:09,328.33,503.11,329.3625568866171,473.6059279535152,401.48424242006615,144.24337106689813,2.18,6.91,9.09,4.73,4.745252526644606,-0.22841750888153456,44.1676785756202,7.9923188036574215
2025-11-08 18:07:10,325.11,509.62,328.2994176649628,482.6094459651364,405.4544318150496,154.3100283001736,2.18,7.82,10.0,5.640000000000001,3.9701893949834357,-0.7750631316611702,40.54543912696105,7.545282860397882
2025-11-08 18:07:11,328.33,516.12,328.3070632487221,490.9870844738523,409.6470738612872,162.6800212251302,2.18,8.71,10.89,6.530000000000001,4.192642046237609,0.2224526512541729,37.61680773594853,7.0406363748432295
2025-11-08 18:07:12,328.33,522.63,328.3127974365416,498.8978133553892,413.6053053959654,170.5850159188476,2.18,9.61,11.79,7.43,3.958231534678191,-0.2344105115594175,35.08102377565239,6.627837327369662
2025-11-08 18:07:13,328.33,532.39,328.3170980774062,507.27086001654186,417.793979046974,178.9537619391357,2.18,10.5,12.68,8.32,4.188673651008628,0.23044211633043687,32.94904937680794,6.446650133072954
2025-11-08 18:07:14,328.33,535.65,328.3203235580546,514.3656450124064,421.3429842852305,186.04532145435178,2.18,11.39,13.57,9.21,3.549005238256484,-0.6396684127521439,31.04959124802058,6.314948908374077
2025-11-08 18:07:15,328.33,537.28,328.32274266854097,520.0942337593049,424.2084882139229,191.7714910907639,2.18,12.28,14.459999999999999,10.1,2.8655039286924193,-0.6835013095640647,29.336684569656875,5.842368508573219
2025-11-08 18:07:16,328.33,542.16,328.3245570014057,525.6106753194787,426.96761616044216,197.28611831807297,2.18,13.14,15.32,10.96,2.759127946519243,-0.10637598217317645,27.86994701635086,5.2619049014191726
2025-11-08 18:07:17,328.33,551.94,328.32591775105425,532.193006489609,430.25946212033165,203.8670887385548,2.18,14.04,16.22,11.86,3.2918459598894856,0.5327180133702427,26.526475683961525,4.835802662029141
2025-11-08 18:07:18,425.24,556.83,352.5544383132907,538.3522548672067,445.4533465902487,185.79781655391605,2.76,14.93,17.689999999999998,12.17,15.193884469917066,11.90203851002758,25.181080916289872,9.433038821779542
2025-11-08 18:07:19,456.03,568.24,378.42332873496804,545.8241911504051,462.12375994268655,167.40086241543708,3.44,15.79,19.23,12.35,16.670413352437834,1.4765288825207676,24.031395523208058,15.883548276850172
2025-11-08 18:07:20,519.37,574.76,413.6599965512261,553.0581433628038,483.3590699570149,139.3981468115777,4.12,16.68,20.8,12.559999999999999,21.235310014328377,4.564896661890543,23.23841570762496,23.452025367104408
2025-11-08 18:07:21,550.31,584.55,447.82249741341957,560.9311075221028,504.3768024677612,113.10861010868325,4.78,17.55,22.330000000000002,12.77,21.01773251074627,-0.21757750358210615,22.58740617466883,29.51597818585309
2025-11-08 18:07:22,571.5,592.71,478.7418730600647,568.8758306415771,523.8088518508209,90.13395758151239,5.43,18.42,23.85,12.990000000000002,19.432049383059734,-1.5856831276865364,21.962634376863164,31.482652714319197
2025-11-08 18:07:23,535.65,604.15,492.9689047950485,577.6943729811828,535.3316388881157,84.72546818613432,6.11,19.28,25.39,13.170000000000002,11.522787037294734,-7.909262345765001,21.08434886978207,29.70552222737826
2025-11-08 18:07:24,519.37,615.58,499.5691785962864,587.1657797358871,543.3674791660867,87.5966011396007,6.77,20.13,26.9,13.36,8.035840277971033,-3.4869467593237005,20.199533790578176,24.3064349455227
