time,force_left,force_right,force_left_filt,force_right_filt,force_avg,force_diff,dis_left,dis_right,total_delta_dis,dis_diff,force_rate,force_acc,stiffness_ratio,force_std_5s
2024-07-04 07:11:22,446.13,302.39,446.13,302.39,374.26,143.74,0.69,41.42,42.11,40.730000000000004,0.0,0.0,8.887674925488604,0.0
2024-07-04 07:11:23,463.27,352.5,450.41499999999996,314.9175,382.66625,135.49749999999995,1.53,41.98,43.51,40.449999999999996,8.40625,8.40625,8.794903268331344,0.0
2024-07-04 07:11:24,498.86,370.95,462.52625,328.925625,395.7259375,133.60062499999998,2.35,42.9,45.25,40.55,13.059687499999995,4.6534374999999955,8.745324392368522,0.0
2024-07-04 07:11:25,508.08,384.13,473.9146875,342.72671875000003,408.320703125,131.18796874999998,3.16,43.83,46.989999999999995,40.67,12.594765625000036,-0.4649218749999591,8.689523184411085,0.0
2024-07-04 07:11:26,498.86,385.44,480.151015625,353.4050390625,416.77802734375,126.7459765625,3.98,44.73,48.709999999999994,40.75,8.457324218749989,-4.137441406250048,8.556313257799976,17.557093090199736
2024-07-04 07:11:27,477.77,389.4,479.55576171875,362.403779296875,420.9797705078125,117.151982421875,4.79,45.66,50.449999999999996,40.87,4.201743164062464,-4.255581054687525,8.34449479015496,15.730946038108295
2024-07-04 07:11:28,479.09,393.35,479.43932128906243,370.14033447265626,424.7898278808593,109.29898681640617,5.6,46.55,52.15,40.949999999999996,3.8100573730468454,-0.3916857910156182,8.145538249958218,11.58372766947641
2024-07-04 07:11:29,493.58,394.66,482.9744909667968,376.2702508544922,429.62237091064446,106.7042401123046,6.39,47.48,53.87,41.089999999999996,4.832543029785143,1.0224856567382972,7.975169165314188,8.112202989289969
2024-07-04 07:11:30,514.66,409.15,490.8958682250976,384.4901881408691,437.69302818298337,106.40568008422849,7.2,48.38,55.580000000000005,41.18,8.070657272338906,3.2381142425537632,7.875009361424505,8.086357756237682
2024-07-04 07:11:31,535.74,426.27,502.1069011688232,394.93514110565184,448.52102113723754,107.17176006317135,7.99,49.28,57.27,41.29,10.82799295425417,2.757335681915265,7.831692217662743,10.99913644658848
