time,force_left,force_right,dis_left,dis_right,force_avg,force_sum,force_diff,force_diff_ratio,total_delta_dis,dis_diff,left_force_rate,right_force_rate,force_rate,force_rate_diff,force_rate_ratio,left_force_acc,right_force_acc,force_acc,left_dis_rate,right_dis_rate,dis_rate_diff,stiffness_ratio,force_std_5s,force_diff_std_5s,force_rate_std_5s
2024-07-11 11:17:48,441.89,199.5,2.02,-0.06,320.695,641.39,242.39,0.7558271854695983,1.96,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.61981447968648,0.0,0.0,0.0
2024-07-11 11:17:49,402.53,259.58,2.06,0.66,331.05499999999995,662.1099999999999,142.95,0.43180136100707933,2.72,1.4,-39.360000000000014,60.079999999999984,10.359999999999957,99.44,9.598454671963875,-39.360000000000014,60.079999999999984,10.359999999999957,0.040000000000000036,0.72,0.6799999999999999,121.71135231200279,0.0,0.0,0.0
2024-07-11 11:17:50,398.38,336.23,2.06,1.38,367.305,734.61,62.14999999999998,0.16920542827022378,3.44,0.6800000000000002,-4.149999999999977,76.65000000000003,36.25000000000006,80.80000000000001,2.228965455752674,35.210000000000036,16.57000000000005,25.8900000000001,0.0,0.7199999999999999,0.7199999999999999,106.77467826317492,0.0,0.0,0.0
2024-07-11 11:17:51,433.6,408.74,2.74,2.06,421.17,842.34,24.860000000000014,0.05902604634939328,4.800000000000001,0.6800000000000002,35.22000000000003,72.50999999999999,53.86500000000001,37.289999999999964,0.6922862583813923,39.370000000000005,-4.140000000000043,17.614999999999952,0.6800000000000002,0.6800000000000002,0.0,87.74373172005588,0.0,0.0,0.0
2024-07-11 11:17:52,485.39,458.46,3.77,2.69,471.92499999999995,943.8499999999999,26.930000000000007,0.05706415202190148,6.46,1.08,51.789999999999964,49.71999999999997,50.75499999999994,2.069999999999993,0.04078415839258866,16.569999999999936,-22.79000000000002,-3.1100000000000705,1.0299999999999998,0.6299999999999999,0.3999999999999999,73.05339426418044,63.61900089595875,92.92117347515581,24.10807836597517
2024-07-11 11:17:53,559.97,464.67,4.81,3.3,512.32,1024.64,95.30000000000001,0.18601655179181653,8.11,1.5099999999999998,74.58000000000004,6.210000000000036,40.395000000000095,68.37,1.6925361630762146,22.790000000000077,-43.509999999999934,-10.359999999999843,1.0399999999999996,0.6099999999999999,0.4299999999999997,63.17138555223361,74.00284259743006,49.78729827978218,17.22373543979355
2024-07-11 11:17:54,526.82,475.03,5.37,3.91,500.925,1001.85,51.79000000000008,0.10338873064153585,9.280000000000001,1.46,-33.14999999999998,10.359999999999957,-11.395000000000039,43.509999999999934,3.8183410427080955,-107.73000000000002,4.14999999999992,-51.790000000000134,0.5600000000000005,0.6100000000000003,0.04999999999999982,53.97898125226495,60.240473043461485,28.908601315179585,26.37237863750634
2024-07-11 11:17:55,557.89,495.75,5.8,4.51,526.8199999999999,1053.6399999999999,62.139999999999986,0.11795300080112181,10.309999999999999,1.29,31.069999999999936,20.720000000000027,25.894999999999925,10.349999999999909,0.39969104461513394,64.21999999999991,10.36000000000007,37.289999999999964,0.4299999999999997,0.5999999999999996,0.16999999999999993,51.09795818642501,41.77561438806149,28.90774169664595,26.55491611735953
2024-07-11 11:17:56,541.32,535.11,6.16,5.08,538.215,1076.43,6.210000000000036,0.011538139941216607,11.24,1.08,-16.569999999999936,39.360000000000014,11.395000000000095,55.92999999999995,4.9082926802726465,-47.63999999999987,18.639999999999986,-14.49999999999983,0.3600000000000003,0.5700000000000003,0.20999999999999996,47.883892537020245,25.575544324608504,34.061779607061084,24.485519802528188
2024-07-11 11:17:57,549.61,557.89,6.83,5.66,553.75,1107.5,8.279999999999973,0.014952595909792102,12.49,1.17,8.289999999999964,22.779999999999973,15.534999999999968,14.490000000000009,0.9327324793863895,24.8599999999999,-16.58000000000004,4.139999999999873,0.6699999999999999,0.5800000000000001,0.08999999999999986,44.33546482502283,20.8267554482213,37.824160664844946,19.132885302536078
2024-07-11 11:17:58,543.39,551.68,7.01,6.22,547.535,1095.07,8.289999999999964,0.015140584592508935,13.23,0.79,-6.220000000000027,-6.210000000000036,-6.215000000000032,0.009999999999990905,0.0016090101996750852,-14.509999999999991,-28.99000000000001,-21.75,0.17999999999999972,0.5599999999999996,0.3799999999999999,41.385862329110935,20.82675544822133,27.301581822304815,15.509563823654096
2024-07-11 11:17:59,595.18,559.97,7.8,6.76,577.575,1155.15,35.20999999999992,0.060961779749882074,14.559999999999999,1.04,51.789999999999964,8.290000000000077,30.040000000000077,43.499999999999886,1.4480691928072762,58.00999999999999,14.500000000000114,36.25500000000011,0.79,0.54,0.25,39.66860991287021,19.03459856419408,24.44753014110021,14.210177690655394
2024-07-11 11:18:00,609.68,584.82,7.93,7.31,597.25,1194.5,24.8599999999999,0.04162411043679496,15.239999999999998,0.6200000000000001,14.5,24.850000000000023,19.674999999999955,10.350000000000023,0.5260482578882738,-37.289999999999964,16.559999999999945,-10.365000000000123,0.1299999999999999,0.5499999999999998,0.41999999999999993,39.189629974433736,24.106155593541228,12.852877109814864,13.296980108280248
2024-07-11 11:18:01,582.75,584.82,8.65,7.85,583.7850000000001,1167.5700000000002,2.07000000000005,0.003545825940122175,16.5,0.8000000000000007,-26.92999999999995,0.0,-13.464999999999918,26.92999999999995,1.9999998514667854,-41.42999999999995,-24.850000000000023,-33.13999999999987,0.7200000000000006,0.54,0.1800000000000006,35.3809069466117,20.851414040779574,13.786572090262418,18.27191095643802
