time,3073（YDC1200-200型kN）力值曲线,3073（YDC1200-200型kN）位移曲线
2024-08-29 10:36:17,232.16,1.60
2024-08-29 10:36:18,257.48,3.32
2024-08-29 10:36:19,289.73,5.02
2024-08-29 10:36:20,324.85,6.65
2024-08-29 10:36:21,357.69,8.20
2024-08-29 10:36:22,388.85,9.74
2024-08-29 10:36:23,424.46,11.27
2024-08-29 10:36:24,457.57,12.72
2024-08-29 10:36:25,487.20,14.11
2024-08-29 10:36:26,524.66,15.48
2024-08-29 10:36:27,552.79,16.79
2024-08-29 10:36:28,582.13,18.13
2024-08-29 10:36:29,623.01,19.36
2024-08-29 10:36:30,635.07,20.38
2024-08-29 10:36:31,631.62,20.38
2024-08-29 10:36:32,629.03,20.38
2024-08-29 10:36:33,627.31,20.38
2024-08-29 10:36:34,628.17,20.38
2024-08-29 10:36:35,623.87,20.38
2024-08-29 10:36:36,627.31,20.38
2024-08-29 10:36:37,623.87,20.38
2024-08-29 10:36:38,626.45,20.38
2024-08-29 10:36:39,622.15,20.38
2024-08-29 10:36:40,625.59,20.38
2024-08-29 10:36:41,624.73,20.38
2024-08-29 10:36:42,623.01,20.38
2024-08-29 10:36:43,620.43,20.38
2024-08-29 10:36:44,623.87,20.38
2024-08-29 10:36:45,621.29,20.38
2024-08-29 10:36:46,622.15,20.38
2024-08-29 10:36:47,622.15,20.38
2024-08-29 10:36:48,617.00,20.38
2024-08-29 10:36:49,623.01,20.38
2024-08-29 10:36:50,617.86,20.38
2024-08-29 10:36:51,617.86,20.38
2024-08-29 10:36:52,622.15,20.38
2024-08-29 10:36:53,622.15,20.38
2024-08-29 10:36:54,618.71,20.38
2024-08-29 10:36:55,621.29,20.38
2024-08-29 10:36:56,618.71,20.38
2024-08-29 10:36:57,615.29,20.38
2024-08-29 10:36:58,615.29,20.38
2024-08-29 10:36:59,617.86,20.38
2024-08-29 10:37:00,612.72,20.38
2024-08-29 10:37:01,616.14,20.38
2024-08-29 10:37:02,614.43,20.38
2024-08-29 10:37:03,616.14,20.38
2024-08-29 10:37:04,615.29,20.38
2024-08-29 10:37:05,613.57,20.38
2024-08-29 10:37:06,610.15,20.38
2024-08-29 10:37:07,612.72,20.38
2024-08-29 10:37:08,614.43,20.38
2024-08-29 10:37:09,608.44,20.38
2024-08-29 10:37:10,611.86,20.38
2024-08-29 10:37:11,609.30,20.38
2024-08-29 10:37:12,611.86,20.38
2024-08-29 10:37:13,612.72,20.38
2024-08-29 10:37:14,611.86,20.38
2024-08-29 10:37:15,606.74,20.38
2024-08-29 10:37:16,612.72,20.38
2024-08-29 10:37:17,607.59,20.38
2024-08-29 10:37:18,611.86,20.38
2024-08-29 10:37:19,607.59,20.38
2024-08-29 10:37:20,608.44,20.38
2024-08-29 10:37:21,611.01,20.38
2024-08-29 10:37:22,486.39,19.46
2024-08-29 10:37:23,287.56,11.37
2024-08-29 10:37:24,57.33,-0.08
2024-08-29 10:37:25,53.67,-0.08
2024-08-29 10:37:26,49.41,-0.08
2024-08-29 10:37:27,44.55,-0.08
2024-08-29 10:37:28,40.33,-0.08
2024-08-29 10:37:29,39.12,-0.08
2024-08-29 10:37:30,36.72,-0.08
2024-08-29 10:37:31,34.92,-0.08
2024-08-29 10:37:32,31.92,-0.08
2024-08-29 10:37:33,31.92,-0.08
