time,3074（YDC-1000型kN）力值曲线,3074（YDC-1000型kN）位移曲线
2024-08-30 13:15:35,243.23,1.60
2024-08-30 13:15:36,273.95,3.32
2024-08-30 13:15:37,315.59,4.97
2024-08-30 13:15:38,353.73,6.60
2024-08-30 13:15:39,389.62,8.20
2024-08-30 13:15:40,430.15,9.74
2024-08-30 13:15:41,464.33,11.32
2024-08-30 13:15:42,508.92,12.82
2024-08-30 13:15:43,548.62,14.31
2024-08-30 13:15:44,586.52,15.73
2024-08-30 13:15:45,608.71,16.84
2024-08-30 13:15:46,604.43,16.84
2024-08-30 13:15:47,612.15,17.28
2024-08-30 13:15:48,615.59,17.28
2024-08-30 13:15:49,614.73,17.28
2024-08-30 13:15:50,609.57,17.28
2024-08-30 13:15:51,612.15,17.28
2024-08-30 13:15:52,611.29,17.28
2024-08-30 13:15:53,611.29,17.28
2024-08-30 13:15:54,609.57,17.28
2024-08-30 13:15:55,605.29,17.28
2024-08-30 13:15:56,607.86,17.28
2024-08-30 13:15:57,604.43,17.28
2024-08-30 13:15:58,606.14,17.28
2024-08-30 13:15:59,603.57,17.28
2024-08-30 13:16:00,607.86,17.28
2024-08-30 13:16:01,602.72,17.28
2024-08-30 13:16:02,606.14,17.28
2024-08-30 13:16:03,606.14,17.28
2024-08-30 13:16:04,603.57,17.28
2024-08-30 13:16:05,603.57,17.28
2024-08-30 13:16:06,605.29,17.28
2024-08-30 13:16:07,601.01,17.28
2024-08-30 13:16:08,604.43,17.28
2024-08-30 13:16:09,603.57,17.28
2024-08-30 13:16:10,601.86,17.28
2024-08-30 13:16:11,602.72,17.28
2024-08-30 13:16:12,603.57,17.28
2024-08-30 13:16:13,601.86,17.28
2024-08-30 13:16:14,601.01,17.28
2024-08-30 13:16:15,601.01,17.28
2024-08-30 13:16:16,601.01,17.28
2024-08-30 13:16:17,597.59,17.28
2024-08-30 13:16:18,597.59,17.28
2024-08-30 13:16:19,600.15,17.28
2024-08-30 13:16:20,601.01,17.28
2024-08-30 13:16:21,597.59,17.28
2024-08-30 13:16:22,600.15,17.28
2024-08-30 13:16:23,601.01,17.28
2024-08-30 13:16:24,601.86,17.28
2024-08-30 13:16:25,595.88,17.28
2024-08-30 13:16:26,601.01,17.28
2024-08-30 13:16:27,601.01,17.28
2024-08-30 13:16:28,598.44,17.28
2024-08-30 13:16:29,597.59,17.28
2024-08-30 13:16:30,599.30,17.28
2024-08-30 13:16:31,594.18,17.28
2024-08-30 13:16:32,598.44,17.28
2024-08-30 13:16:33,595.88,17.28
2024-08-30 13:16:34,598.44,17.28
2024-08-30 13:16:35,599.30,17.28
2024-08-30 13:16:36,597.59,17.28
2024-08-30 13:16:37,593.33,17.28
2024-08-30 13:16:38,597.59,17.28
2024-08-30 13:16:39,596.74,17.28
2024-08-30 13:16:40,599.30,17.28
2024-08-30 13:16:41,599.30,17.28
2024-08-30 13:16:42,598.44,17.28
2024-08-30 13:16:43,595.03,17.28
2024-08-30 13:16:44,596.74,17.28
2024-08-30 13:16:45,597.59,17.28
2024-08-30 13:16:46,597.59,17.28
2024-08-30 13:16:47,596.74,17.28
2024-08-30 13:16:48,593.33,17.28
2024-08-30 13:16:49,594.18,17.28
2024-08-30 13:16:50,597.59,17.28
2024-08-30 13:16:51,597.59,17.28
2024-08-30 13:16:52,593.33,17.28
2024-08-30 13:16:53,595.88,17.28
2024-08-30 13:16:54,597.59,17.28
2024-08-30 13:16:55,595.03,17.28
2024-08-30 13:16:56,596.74,17.28
2024-08-30 13:16:57,594.18,17.28
2024-08-30 13:16:58,594.18,17.28
2024-08-30 13:16:59,590.77,17.28
2024-08-30 13:17:00,597.59,17.28
2024-08-30 13:17:01,595.03,17.28
2024-08-30 13:17:02,594.18,17.28
