time,3071（YDC1200-200型kN）力值曲线,3071（YDC1200-200型kN）位移曲线
2024-09-09 20:31:31,281.04,1.66
2024-09-09 20:31:32,304.67,3.43
2024-09-09 20:31:33,322.08,4.64
2024-09-09 20:31:34,355.23,6.38
2024-09-09 20:31:35,386.00,8.10
2024-09-09 20:31:36,398.91,8.95
2024-09-09 20:31:37,419.62,10.17
2024-09-09 20:31:38,437.44,11.37
2024-09-09 20:31:39,444.46,12.25
2024-09-09 20:31:40,492.73,13.65
2024-09-09 20:31:41,527.47,15.17
2024-09-09 20:31:42,559.50,16.69
2024-09-09 20:31:43,589.50,18.18
2024-09-09 20:31:44,592.02,18.72
2024-09-09 20:31:45,600.44,19.46
2024-09-09 20:31:46,596.23,19.46
2024-09-09 20:31:47,592.02,19.46
2024-09-09 20:31:48,589.50,19.46
2024-09-09 20:31:49,588.66,19.46
2024-09-09 20:31:50,590.34,19.46
2024-09-09 20:31:51,586.99,19.46
2024-09-09 20:31:52,588.66,19.46
2024-09-09 20:31:53,581.96,19.46
2024-09-09 20:31:54,585.31,19.46
2024-09-09 20:31:55,586.99,19.46
2024-09-09 20:31:56,584.47,19.46
2024-09-09 20:31:57,585.31,19.46
2024-09-09 20:31:58,583.64,19.46
2024-09-09 20:31:59,585.31,19.46
2024-09-09 20:32:00,584.47,19.46
2024-09-09 20:32:01,583.64,19.46
2024-09-09 20:32:02,581.96,19.46
2024-09-09 20:32:03,580.29,19.46
2024-09-09 20:32:04,578.62,19.46
2024-09-09 20:32:05,580.29,19.46
2024-09-09 20:32:06,578.62,19.46
2024-09-09 20:32:07,581.13,19.46
2024-09-09 20:32:08,576.95,19.46
2024-09-09 20:32:09,576.12,19.46
2024-09-09 20:32:10,578.62,19.46
2024-09-09 20:32:11,579.46,19.46
2024-09-09 20:32:12,575.28,19.46
2024-09-09 20:32:13,580.29,19.46
2024-09-09 20:32:14,578.62,19.46
2024-09-09 20:32:15,574.45,19.46
2024-09-09 20:32:16,577.79,19.46
2024-09-09 20:32:17,576.12,19.46
2024-09-09 20:32:18,576.12,19.46
2024-09-09 20:32:19,575.28,19.46
2024-09-09 20:32:20,575.28,19.46
2024-09-09 20:32:21,575.28,19.46
2024-09-09 20:32:22,574.45,19.46
2024-09-09 20:32:23,575.28,19.46
2024-09-09 20:32:24,571.12,19.46
2024-09-09 20:32:25,529.11,19.16
2024-09-09 20:32:26,446.02,17.09
2024-09-09 20:32:27,387.51,14.77
2024-09-09 20:32:28,227.25,11.00
2024-09-09 20:32:29,96.45,7.35
2024-09-09 20:32:30,45.95,3.71
2024-09-09 20:32:31,45.95,3.71
2024-09-09 20:32:32,45.36,3.71
2024-09-09 20:32:33,44.76,3.71
2024-09-09 20:32:34,44.76,3.71
2024-09-09 20:32:35,44.17,3.71
2024-09-09 20:32:36,43.58,3.71
2024-09-09 20:32:37,42.39,3.71
2024-09-09 20:32:38,42.98,3.71
2024-09-09 20:32:39,42.98,3.71
